wer,cer,time,memory,transcription,reference,model,dataset,sample_idx
0.375,0.13636363636363635,1.1972968578338623,368.80859375,HE WAS BURIED IN LAHOR NEAR ANNACOLLI BAZAR,He was buried in Lahore near Anarkali Bazaar.,wav2vec2-small,CommonVoice2,0
0.15384615384615385,0.03125,1.1660902500152588,53.35546875,A DOG TRYING TO CATCH BOBBLES FROM A BOBBLE MACHINE IN THE GRASS,A dog trying to catch bubbles from a bubble machine in the grass,wav2vec2-small,CommonVoice2,1
0.0,0.0,1.0161685943603516,23.078125,ONE SHOULD ALWAYS LEAVE A LIGHT BURNING IN AN EMPTY THEATRE,One should always leave a light burning in an empty theatre.,wav2vec2-small,CommonVoice2,2
0.21428571428571427,0.05,0.9691212177276611,-14.5625,LIKE THE ROMA IN GENERAL MANY DIFFERENT ETHANUMS ARE GIVEN TO SUB GROUPS OF ROMA,"Like the Roma in general, many different ethnonyms are given to subgroups of Roma.",wav2vec2-small,CommonVoice2,3
0.0,0.0,0.8125162124633789,-6.53125,SHE HAD TWO CHILDREN FROM HER FIRST MARRIAGE,She had two children from her first marriage.,wav2vec2-small,CommonVoice2,4
0.0,0.0,0.812309741973877,-0.4765625,CURRENTLY TWO SPECIES ARE RECOGNIZED,"Currently, two species are recognized.",wav2vec2-small,CommonVoice2,5
0.6363636363636364,0.12903225806451613,1.4421777725219727,20.0078125,EXAMPLES OF THERMOSETTING ADHESIVEZAR EPOXI POLY UROTHANE SCIENOACRILATE AND ACRILIC POLUMERS,"Examples of thermosetting adhesives are: epoxy, polyurethane, cyanoacrylate and acrylic polymers.",wav2vec2-small,CommonVoice2,6
0.3076923076923077,0.1111111111111111,1.1468477249145508,-0.56640625,HIS FATHER IS THE KING OF OSHARK'S ALSO KNOWN AS THE SHARPGOD,"His father is ""The King of All Sharks""-also known as the Shark god.",wav2vec2-small,CommonVoice2,7
0.5714285714285714,0.2222222222222222,0.602001428604126,20.87109375,WOR DE BISHOV SWITH SO MANY QUEENS,Who need bishops with so many queens?,wav2vec2-small,CommonVoice2,8
0.2222222222222222,0.08620689655172414,0.7430586814880371,-10.421875,FLIP WAS APPOINTED TO A NUMBER OF FOUNDATION LECTURSHOOPS,Flint was appointed to a number of foundation lectureships.,wav2vec2-small,CommonVoice2,9
